20231024 16:42:05 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC12' PASSED
20231024 16:42:05 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:05 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java370 - getAllUerTC13 Execution started
20231024 16:42:07 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java386 - getAllUerTC13 Execution ended
20231024 16:42:07 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC13' PASSED
20231024 16:42:07 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:07 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java395 - getAllUerTC14 Execution started
20231024 16:42:08 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java415 - getAllUerTC14 Execution ended
20231024 16:42:08 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC14' PASSED
20231024 16:42:08 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:08 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java424 - getAllUerTC15 Execution started
20231024 16:42:09 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java446 - getAllUerTC15 Execution ended
20231024 16:42:09 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC15' PASSED
20231024 16:42:09 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:09 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java455 - getAllUerTC16 Execution started
20231024 16:42:10 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java480 - getAllUerTC16 Execution ended
20231024 16:42:10 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC16' PASSED
20231024 16:42:10 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:10 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java489 - getAllUerTC17 Execution started
20231024 16:42:11 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java506 - getAllUerTC17 Execution ended
20231024 16:42:11 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'getAllUerTC17' PASSED
20231024 16:42:11 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:11 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java93 - invalidDomainNameTC4 Execution started
20231024 16:42:12 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java111 - invalidDomainNameTC4 Execution ended
20231024 16:42:12 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'invalidDomainNameTC4' PASSED
20231024 16:42:12 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
20231024 16:42:12 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java66 - invalidProtocolTC3 Execution started
20231024 16:42:12 INFO  [main] apiendtoendtest.AppsLoveWorldAPITestScript AppsLoveWorldAPITestScript.java80 - invalidProtocolTC3 Execution ended
20231024 16:42:12 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java19 - Test 'invalidProtocolTC3' PASSED
20231024 16:42:12 INFO  [main] util.TestEventListernerUtility TestEventListernerUtility.java13 - Test Started
